Time,norm_IC-RP,IMS-RP,norm_EC-RP
180,0,0,0.002
360,0,0,0.0018
540,0,0,0.0015
720,0,0,0.0051
900,0,0,0.0038
1080,0,0,0.0042
1260,0,0,0.0057
1440,0,0,0.0022
1620,0,0,0.0027
1800,0,0,0.0071
1980,0,0,0.0027
2160,0,0,0.006
2340,0,0,0.006
2520,0,0,0.0064
2700,0,0,0.0068
2880,0,0,0.0046
3060,0,0,0.0075
3240,0,0,0.0091
3420,0,0,0.0115
3600,0,0,0.0144
3780,0,0,0.0106
3960,0,0,0.0077
4140,0,0,0.011
4320,0.0035,0,0.0086
4500,0.017,0,0.0128
4680,0.0186,0,0.0177
4860,0.0207,0,0.0194
5040,0.031,0,0.0188
5220,0.0352,0,0.0168
5400,0.0484,0,0.0199
5580,0.055,0,0.0241
5760,0.068,0,0.023
5940,0.073,0,0.0252
6120,0.0742,0,0.0289
6300,0.1067,0,0.0309
6480,0.1036,0,0.0362
6660,0.1189,0,0.0386
6840,0.145,0,0.0391
7020,0.1632,0,0.0446
7200,0.1576,0,0.0519
7380,0.1779,0,0.0541
7560,0.1897,0,0.0583
7740,0.2234,0,0.0543
7920,0.2277,0,0.0601
8100,0.2436,0,0.0634
8280,0.2833,0,0.0676
8460,0.292,0,0.0674
8640,0.3059,0,0.0718
8820,0.3282,0,0.0709
9000,0.34,0,0.0738
9180,0.3789,0,0.0875
9360,0.3926,0,0.0961
9540,0.407,0.0025,0.1073
9720,0.4261,0.1192,0.1182
9900,0.4699,0.8808,0.2178
10080,0.5266,0.9975,0.3894
10260,0.6238,1,0.5512
10440,0.6925,1,0.6617
10620,0.7613,1,0.7705
10800,0.8091,1,0.839
10980,0.8734,1,0.9145
11160,0.9264,1,0.9832
11340,0.9681,1,1
11520,1,1,1
11700,1,1,1
11880,1,1,1
12060,1,1,1
12240,1,1,1
12420,1,1,1
12600,1,1,1
12780,1,1,1
12960,1,1,1
13140,1,1,1
13320,1,1,1
13500,1,1,1
13680,1,1,1
13860,1,1,1
14040,1,1,1
14220,1,1,1
14400,1,1,1
14580,1,1,1
14760,1,1,1
14940,1,1,1
15120,1,1,1
15300,1,1,1
15480,1,1,1
15660,1,1,1
15840,1,1,1
16020,1,1,1
16200,1,1,1
16380,1,1,1
16560,1,1,1
16740,1,1,1
16920,1,1,1
17100,1,1,1
17280,1,1,1
17460,1,1,1
17640,1,1,1
17820,1,1,1
18000,1,1,1
18180,1,1,1
18360,1,1,1
18540,1,1,1
18720,1,1,1
18900,1,1,1
19080,1,1,1
19260,1,1,1
19440,1,1,1
19620,1,1,1
19800,1,1,1
19980,1,1,1
20160,1,1,1
